Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Active Flow Entries,Packets Looked Up,Packets Matched,Label
of:0000000000000004,Port#:1,240,16586,12622603,467,126,0,0,280,2,5,1,0,0,0,0,0,4,819,757,TCP-SYN
of:0000000000000004,Port#:2,158,20530,35464,376,171,4,556,3407,43,5,2,0,0,0,0,0,5,1018,918,TCP-SYN
of:0000000000000008,Port#:3,1930,37881404,67857371,414333,1297,0,0,556,4,5,2,0,0,0,0,0,8,987400,987276,Normal
of:0000000000000001,Port#:4,903,18946410,17900326,98088,176,3,320,270280,5002,4,3,0,0,0,0,0,8,195879,195780,PortScan
of:000000000000000b,Port#:1,423,29020,19138042,1562,1451,0,0,560,4,5,1,0,0,0,0,0,4,4524,4411,Overflow
of:000000000000000c,Port#:1,468,32234,42399682,408529,1097,0,0,560,4,5,1,0,0,0,0,0,4,645351,645228,Normal
of:0000000000000003,Port#:2,134,18714,19008,141,161,2,278,278,2,5,1,0,0,0,0,0,7,3269,3159,TCP-SYN
of:0000000000000004,Port#:3,5060,82203513,12769997,1678,1602,4,556,556,4,5,4,0,0,0,0,0,4,13477,13256,Diversion
of:0000000000000004,Port#:3,252,6313946,18440,192,71,2,278,278,2,5,1,0,0,0,0,0,6,880,774,TCP-SYN
of:0000000000000008,Port#:1,1058,18960201,34004,311,236,4,560,556,4,5,3,0,0,0,0,0,4,2846,2732,PortScan
of:0000000000000006,Port#:2,187,6304507,27172,256,166,62,2232607,3278,41,5,1,0,0,0,0,0,6,1023,930,PortScan
of:000000000000000c,Port#:4,7392,126426604,94877805,5745,2427,2,278,560,4,5,4,-728,0,-728,0,-728,6,17819,17687,Blackhole
of:000000000000000b,Port#:2,188716,64806726,61981473,122140,3030,4,560,560,4,5,2,0,0,0,0,0,4,522300,522212,Normal
of:000000000000000c,Port#:3,180613,158906539,195025008,291184,2527,4,556,280,2,4,3,0,0,0,0,0,4,668392,668256,Normal
of:000000000000000a,Port#:1,79722,16893358,4316282,79701,121,15588,841752,842382,15593,5,1,0,0,0,0,0,6,160226,160131,PortScan
of:000000000000000c,Port#:4,8093,132815968,113836888,6486,3306,4,556,560,4,5,5,0,0,0,0,0,205,26638,26405,Diversion
of:000000000000000a,Port#:4,4912,75947734,38116538,3656,2606,3,320,322,3,4,5,0,0,0,0,0,12,17822,17596,Diversion
of:0000000000000007,Port#:2,5928,107471898,75977370,5384,2567,3,320,278,2,5,5,0,0,0,0,0,4,16424,16201,Diversion
of:0000000000000001,Port#:3,1564,19026292,97386,760,1012,4,556,556,4,4,4,0,0,0,0,0,6,4181,4014,Diversion
of:0000000000000003,Port#:4,2299,25407600,12816219,2166,1857,2,278,278,2,5,1,0,0,0,0,0,504,9387,9262,Blackhole
of:0000000000000003,Port#:2,535,18911291,40669,466,146,0,0,556,4,5,2,0,0,0,0,0,4,2397,2307,TCP-SYN
of:000000000000000b,Port#:2,136,18022,17560,125,146,4,556,556,4,5,2,0,0,0,0,0,5,1104,996,PortScan
of:0000000000000003,Port#:2,12,996,19848,148,166,0,0,560,4,5,1,0,0,0,0,0,6,144855,144750,PortScan
of:0000000000000001,Port#:1,2359,56781536,44381872,3623,2112,75,4950,5776700,140,5,2,0,0,0,0,0,6,14459,14240,Diversion
of:000000000000000a,Port#:1,416,39726,18933573,697,206,5,598,598,5,5,2,0,0,0,0,0,4,1432,1319,TCP-SYN
of:0000000000000004,Port#:3,149,20702,20996,156,181,4,556,556,4,5,1,0,0,0,0,0,5,3135,3030,TCP-SYN
of:0000000000000009,Port#:3,126,8793,6320332,302,136,0,0,320,3,5,1,0,0,0,0,0,4,982,888,PortScan
of:0000000000000001,Port#:3,5143,88499963,63287093,4044,2066,147,5777453,5915,81,5,4,0,0,0,0,0,6,14530,14404,Blackhole
